step,time,forward,remeshing,global_relaxation,peak_mem,#V,#T
181,4.525,0.11950983333333336,0,0,1.4427032470703125,137,12
182,4.55,0.11754608333333336,0,0,1.4427032470703125,137,12
183,4.575,0.11699683333333336,0,0,1.4427032470703125,137,12
184,4.6000000000000005,0.1189354166666667,0,0,1.4427032470703125,137,12
185,4.625,0.11887683333333336,0,0,1.4427032470703125,137,12
186,4.65,0.12028020833333336,0,0,1.4427032470703125,137,12
187,4.675,0.11787191666666669,0,0,1.4427032470703125,137,12
188,4.7,0.12184562500000003,0,0,1.4427032470703125,137,12
189,4.7250000000000005,0.12316616666666667,0,0,1.4427032470703125,137,12
190,4.75,0.11758612500000003,0,0,1.4427032470703125,137,12
191,4.775,0.11822625000000003,0,0,1.4427032470703125,137,12
192,4.800000000000001,0.12074658333333337,0,0,1.4427032470703125,137,12
193,4.825,0.11972737500000002,0,0,1.4427032470703125,137,12
194,4.8500000000000005,0.1174640416666667,0,0,1.4427032470703125,137,12
195,4.875,0.12134408333333337,0,0,1.4427032470703125,137,12
196,4.9,0.3057278333333334,0,0,1.4427032470703125,137,12
197,4.925000000000001,0.2798100833333334,0,0,1.4427032470703125,137,12
198,4.95,0.11907595833333336,0,0,1.4427032470703125,137,12
199,4.9750000000000005,0.11922279166666669,0,0,1.4427032470703125,137,12
200,5,0.12171050000000003,0,0,1.4427032470703125,137,12
