i,elastic,inertia,body,contact,friction,damping,augmented_lagrangian_lagr,augmented_lagrangian_penalty,strain_augmented_lagrangian_lagr,strain_augmented_lagrangian_penalty,periodic_contact,total_energy
141,69037.1,454.364,-328017,7.24844,0,0,0,0,0,0,0,-258518
142,71205.3,408.525,-328988,7.49716,0,0,0,0,0,0,0,-257366
143,73124,364.345,-329732,7.73886,0,0,0,0,0,0,0,-256236
144,74750.7,327.949,-330208,7.95771,0,0,0,0,0,0,0,-255121
145,76050.6,305.583,-330392,8.10643,0,0,0,0,0,0,0,-254028
146,76987.4,285.958,-330283,8.15524,0,0,0,0,0,0,0,-253001
147,77533.2,272.098,-329888,8.12488,0,0,0,0,0,0,0,-252074
148,77673.5,262.972,-329223,8.10306,0,0,0,0,0,0,0,-251278
149,77384.9,257.095,-328303,8.07364,0,0,0,0,0,0,0,-250653
150,76631.6,249.378,-327145,7.9911,0,0,0,0,0,0,0,-250256
151,75421.5,237.408,-325769,7.87239,0,0,0,0,0,0,0,-250102
152,73775.8,226.676,-324200,7.74305,0,0,0,0,0,0,0,-250190
153,71719.8,215.041,-322462,7.58442,0,0,0,0,0,0,0,-250520
154,69293.6,199.61,-320582,7.38629,0,0,0,0,0,0,0,-251081
155,66564.4,178.268,-318586,7.15262,0,0,0,0,0,0,0,-251836
156,63629.2,152.396,-316502,6.91785,0,0,0,0,0,0,0,-252714
157,60596.3,124.938,-314355,6.69257,0,0,0,0,0,0,0,-253627
158,57579.3,98.9789,-312169,6.4791,0,0,0,0,0,0,0,-254484
159,54677.6,80.271,-309968,6.28879,0,0,0,0,0,0,0,-255204
160,51959.1,71.2314,-307779,6.12499,0,0,0,0,0,0,0,-255743
161,49450.8,72.6269,-305626,5.9811,0,0,0,0,0,0,0,-256097
162,47141.8,81.9469,-303532,5.84388,0,0,0,0,0,0,0,-256303
163,44997.7,95.1946,-301523,5.70951,0,0,0,0,0,0,0,-256424
164,42970.5,109.777,-299619,5.56262,0,0,0,0,0,0,0,-256533
